Created as New Dataset;
s;A
0,00;-0,0000
1,00;0,0003
2,00;-0,0000
3,00;-0,0000
4,00;-0,0000
5,00;-0,0000
6,00;-0,0000
7,00;-0,0000
8,00;-0,0003
9,00;-0,0003
10,00;-0,0003
11,00;-0,0000
12,00;-0,0000
13,00;-0,0000
14,00;-0,0000
15,00;-0,0000
16,00;-0,0003
17,00;-0,0000
18,00;-0,0000
19,00;-0,0000
20,00;-0,0000
21,00;-0,0000
22,00;-0,0000
23,00;-0,0000
24,00;-0,0000
25,00;-0,0000
26,00;-0,0000
27,00;-0,0000
28,00;-0,0000
29,00;-0,0003
30,00;-0,0000
31,00;-0,0000
32,00;-0,0003
33,00;-0,0003
34,00;-0,0003
35,00;-0,0003
36,00;-0,0000
37,00;-0,0003
38,00;-0,0003
39,00;-0,0000
40,00;-0,0000
41,00;-0,0000
42,00;-0,0000
43,00;-0,0003
44,00;-0,0000
45,00;-0,0003
46,00;-0,0000
47,00;-0,0003
48,00;-0,0003
49,00;-0,0003
50,00;-0,0003
51,00;-0,0003
52,00;-0,0003
53,00;-0,0003
54,00;-0,0003
55,00;-0,0000
56,00;-0,0003
57,00;-0,0003
58,00;-0,0003
59,00;-0,0006
60,00;-0,0003
61,00;-0,0000
62,00;-0,0003
63,00;-0,0003
64,00;-0,0006
65,00;-0,0003
66,00;-0,0003
67,00;-0,0003
68,00;-0,0003
69,00;-0,0003
70,00;-0,0003
71,00;-0,0006
72,00;-0,0006
73,00;-0,0006
74,00;-0,0006
75,00;-0,0006
76,00;-0,0003
77,00;-0,0006
78,00;-0,0006
79,00;-0,0006
80,00;-0,0003
81,00;-0,0003
82,00;-0,0003
83,00;-0,0006
84,00;-0,0006
85,00;-0,0006
86,00;-0,0003
87,00;-0,0006
88,00;-0,0006
89,00;-0,0003
90,00;-0,0003
91,00;-0,0003
92,00;-0,0006
93,00;-0,0006
94,00;-0,0006
95,00;-0,0006
96,00;-0,0006
97,00;-0,0006
98,00;-0,0006
99,00;-0,0006
100,00;-0,0006
101,00;-0,0006
102,00;-0,0010
103,00;-0,0006
104,00;-0,0010
105,00;-0,0006
106,00;-0,0010
107,00;-0,0006
108,00;-0,0006
109,00;-0,0010
110,00;-0,0006
111,00;-0,0006
112,00;-0,0010
113,00;-0,0010
114,00;-0,0010
115,00;-0,0010
