Pomiar;Ca1Mg1.Sample.csv - abs;Ca1Mg1.Sample.csv - delta;Ca1Mg1.Sample.csv - proc;====;Ca1Mg5.Sample.csv - abs;Ca1Mg5.Sample.csv - delta;Ca1Mg5.Sample.csv - proc;====
0;0,0;0,0;0,0;====;0,0;0,0;0,0;====
1;0,005;-0,0313;-86,2259;====;0,007;0,0052;288,88889;====
2;0,0019;-0,0031;-62,0;====;0,1017;0,0947;1352,85714;====
3;0,0025;0,0006;31,57895;====;0,2602;0,1585;155,85054;====
4;0,0034;0,0009;36,0;====;0,3022;0,042;16,14143;====
5;0,0044;0,001;29,41176;====;0,2945;-0,0077;-2,54798;====
6;0,0044;0,0;0,0;====;0,2691;-0,0254;-8,62479;====
7;0,0041;-0,0003;-6,81818;====;0,2478;-0,0213;-7,91527;====
8;0,4152;0,4111;10026,82927;====;0,2378;-0,01;-4,03551;====
9;0,7154;0,3002;72,3025;====;0,2368;-0,001;-0,42052;====
10;0,5865;-0,1289;-18,01789;====;0,2316;-0,0052;-2,19595;====
11;0,5712;-0,0153;-2,6087;====;0,2194;-0,0122;-5,2677;====
12;0,5712;0,0;0,0;====;0,2009;-0,0185;-8,43209;====
13;0,5712;0,0;0,0;====;0,1776;-0,0233;-11,59781;====
14;0,57;-0,0012;-0,21008;====;0,1581;-0,0195;-10,97973;====
15;0,7892;0,2192;38,45614;====;0,1453;-0,0128;-8,09614;====
16;0,5937;-0,1955;-24,77192;====;0,1403;-0,005;-3,44116;====
17;0,8313;0,2376;40,02021;====;0,1382;-0,0021;-1,49679;====
18;1,6681;0,8368;100,66161;====;0,1382;0,0;0,0;====
19;1,4462;-0,2219;-13,30256;====;0,1386;0,0004;0,28944;====
20;1,0448;-0,4014;-27,7555;====;0,139;0,0004;0,2886;====
21;0,9868;-0,058;-5,5513;====;0,139;0,0;0,0;====
22;0,9808;-0,006;-0,60803;====;0,1398;0,0008;0,57554;====
23;1,154;0,1732;17,65905;====;0,1403;0,0005;0,35765;====
24;1,765;0,611;52,94627;====;0,1403;0,0;0,0;====
25;1,0448;-0,7202;-40,80453;====;0,1407;0,0004;0,2851;====
26;0,7873;-0,2575;-24,64587;====;0,1407;0,0;0,0;====
27;0,671;-0,1163;-14,77201;====;0,1411;0,0004;0,28429;====
28;0,6254;-0,0456;-6,79583;====;0,1415;0,0004;0,28349;====
29;0,6189;-0,0065;-1,03933;====;0,1419;0,0004;0,28269;====
30;0,6202;0,0013;0,21005;====;0,1423;0,0004;0,28189;====
31;0,9577;0,3375;54,41793;====;0,1423;0,0;0,0;====
32;1,492;0,5343;55,78991;====;0,1423;0,0;0,0;====
33;0,8251;-0,6669;-44,69839;====;0,1423;0,0;0,0;====
34;0,6011;-0,224;-27,14822;====;0,1428;0,0005;0,35137;====
35;0,57;-0,0311;-5,17385;====;0,1432;0,0004;0,28011;====
36;0,5677;-0,0023;-0,40351;====;0,1428;-0,0004;-0,27933;====
37;0,5677;0,0;0,0;====;0,1432;0,0004;0,28011;====
38;0,5723;0,0046;0,81029;====;0,1436;0,0004;0,27933;====
39;0,9465;0,3742;65,38529;====;0,144;0,0004;0,27855;====
40;0,9411;-0,0054;-0,57052;====;0,1436;-0,0004;-0,27778;====
41;0,6124;-0,3287;-34,92721;====;0,1449;0,0013;0,90529;====
42;0,5666;-0,0458;-7,47877;====;0,1465;0,0016;1,10421;====
43;0,5643;-0,0023;-0,40593;====;0,1487;0,0022;1,50171;====
44;0,5643;0,0;0,0;====;0,1551;0,0064;4,30397;====
45;0,5666;0,0023;0,40758;====;0,1726;0,0175;11,28304;====
46;0,5677;0,0011;0,19414;====;0,226;0,0534;30,93859;====
47;0,6724;0,1047;18,44284;====;0,3394;0,1134;50,17699;====
48;1,4048;0,7324;108,92326;====;0,4635;0,1241;36,56453;====
49;2,1452;0,7404;52,70501;====;0,5613;0,0978;21,10032;====
50;0,6497;-1,4955;-69,71378;====;0,6288;0,0675;12,02565;====
51;0,5631;-0,0866;-13,32923;====;0,6704;0,0416;6,61578;====
52;0,5575;-0,0056;-0,99449;====;0,6906;0,0202;3,01313;====
53;0,5564;-0,0011;-0,19731;====;0,6981;0,0075;1,08601;====
54;0,5541;-0,0023;-0,41337;====;0,6981;0,0;0,0;====
55;0,9122;0,3581;64,62732;====;0,6936;-0,0045;-0,64461;====
56;1,823;0,9108;99,84652;====;0,6862;-0,0074;-1,0669;====
57;0,9046;-0,9184;-50,3785;====;0,679;-0,0072;-1,04926;====
58;0,6904;-0,2142;-23,67897;====;0,6747;-0,0043;-0,63328;====
59;0,6666;-0,0238;-3,44728;====;0,6718;-0,0029;-0,42982;====
60;0,6623;-0,0043;-0,64506;====;0,6718;0,0;0,0;====
61;0,6638;0,0015;0,22648;====;0,6732;0,0014;0,2084;====
62;0,6681;0,0043;0,64779;====;0,679;0,0058;0,86156;====
63;0,6739;0,0058;0,86813;====;0,6862;0,0072;1,06038;====
64;0,6798;0,0059;0,8755;====;0,6936;0,0074;1,0784;====
65;0,6888;0,009;1,32392;====;0,7026;0,009;1,29758;====
66;0,6996;0,0108;1,56794;====;0,7134;0,0108;1,53715;====
67;0,7106;0,011;1,57233;====;0,7212;0,0078;1,09336;====
68;0,7203;0,0097;1,36504;====;0,7292;0,008;1,10926;====
69;0,7286;0,0083;1,1523;====;0,7308;0,0016;0,21942;====
70;0,737;0,0084;1,1529;====;0,7244;-0,0064;-0,87575;====
71;0,7438;0,0068;0,92266;====;0,6966;-0,0278;-3,83766;====
72;0,749;0,0052;0,69911;====;0,6378;-0,0588;-8,441;====
73;0,7525;0,0035;0,46729;====;0,569;-0,0688;-10,78708;====
74;0,7578;0,0053;0,70432;====;0,5096;-0,0594;-10,43937;====
75;0,756;-0,0018;-0,23753;====;0,4548;-0,0548;-10,75353;====
76;0,7525;-0,0035;-0,46296;====;0,4054;-0,0494;-10,86192;====
77;0,7404;-0,0121;-1,60797;====;0,3589;-0,0465;-11,47015;====
78;0,7269;-0,0135;-1,82334;====;0,3176;-0,0413;-11,50738;====
79;0,7138;-0,0131;-1,80217;====;0,2862;-0,0314;-9,88665;====
80;0,7012;-0,0126;-1,7652;====;0,2635;-0,0227;-7,93152;====
81;0,6858;-0,0154;-2,19624;====;0,2425;-0,021;-7,96964;====
82;0,6681;-0,0177;-2,58093;====;0,2209;-0,0216;-8,90722;====
83;0,6497;-0,0184;-2,75408;====;0,2009;-0,02;-9,05387;====
84;0,64;-0,0097;-1,493;====;0,1849;-0,016;-7,96416;====
85;0,632;-0,008;-1,25;====;0,1709;-0,014;-7,57166;====
86;0,6202;-0,0118;-1,86709;====;0,1577;-0,0132;-7,72382;====
87;0,6086;-0,0116;-1,87036;====;0,1512;-0,0065;-4,12175;====
88;0,5987;-0,0099;-1,62668;====;0,147;-0,0042;-2,77778;====
89;0,5712;-0,0275;-4,59329;====;0,1407;-0,0063;-4,28571;====
90;0,5442;-0,027;-4,72689;====;0,1353;-0,0054;-3,83795;====
91;0,5261;-0,0181;-3,32598;====;0,1308;-0,0045;-3,32594;====
92;0,5087;-0,0174;-3,30736;====;0,1276;-0,0032;-2,44648;====
93;0,4949;-0,0138;-2,7128;====;0,1251;-0,0025;-1,95925;====
94;0,4777;-0,0172;-3,47545;====;0,1227;-0,0024;-1,91847;====
95;0,4595;-0,0182;-3,80992;====;0,1243;0,0016;1,30399;====
96;0,4317;-0,0278;-6,05005;====;0,13;0,0057;4,58568;====
97;0,3986;-0,0331;-7,66736;====;0,13;0,0;0,0;====
98;0,3606;-0,038;-9,53337;====;0,1288;-0,0012;-0,92308;====
99;0,3445;-0,0161;-4,46478;====;0,1207;-0,0081;-6,28882;====
100;0,3363;-0,0082;-2,38026;====;0,1156;-0,0051;-4,22535;====
101;0,3309;-0,0054;-1,60571;====;0,1036;-0,012;-10,38062;====
102;0,3026;-0,0283;-8,55243;====;0,0893;-0,0143;-13,80309;====
103;0,2576;-0,045;-14,87112;====;0,0705;-0,0188;-21,05263;====
104;0,2107;-0,0469;-18,20652;====;0,0538;-0,0167;-23,68794;====
105;0,1698;-0,0409;-19,41149;====;0,0404;-0,0134;-24,90706;====
106;0,1362;-0,0336;-19,78799;====;0,0309;-0,0095;-23,51485;====
107;0,1046;-0,0316;-23,20117;====;0,0245;-0,0064;-20,71197;====
108;0,0789;-0,0257;-24,56979;====;0,0203;-0,0042;-17,14286;====
109;0,0606;-0,0183;-23,19392;====;0,0172;-0,0031;-15,27094;====
110;0,0483;-0,0123;-20,29703;====;0,0147;-0,0025;-14,53488;====
111;0,0393;-0,009;-18,63354;====;0,0131;-0,0016;-10,88435;====
112;0,0329;-0,0064;-16,28499;====;0,0116;-0,0015;-11,45038;====
113;0,0283;-0,0046;-13,98176;====;0,0104;-0,0012;-10,34483;====
114;0,0243;-0,004;-14,13428;====;0,0088;-0,0016;-15,38462;====
115;0,0207;-0,0036;-14,81481;====;0,0076;-0,0012;-13,63636;====
116;0,0181;-0,0026;-12,56039;====;0,0067;-0,0009;-11,84211;====
117;0,0158;-0,0023;-12,70718;====;0,0058;-0,0009;-13,43284;====
118;0,0139;-0,0019;-12,02532;====;0,0055;-0,0003;-5,17241;====
119;0,0123;-0,0016;-11,51079;====;0,0045;-0,001;-18,18182;====
120;0,011;-0,0013;-10,56911;====;0,0036;-0,0009;-20,0;====
121;0,0101;-0,0009;-8,18182;====;0,003;-0,0006;-16,66667;====
